getDomain,UsingIp,longUrl,shortUrl,symbol,redirecting,prefixSuffix,SubDomains,Hppts,DomainRegLen,Favicon,NonStdPort,HTTPSDomainURL,RequestURL,AnchorURL,LinksInScriptTags,ServerFormHandler,InfoEmail,AbnormalURL,WebsiteForwarding,StatusBarCust,getDepth,DisableRightClick,UsingPopupWindow,IframeRedirection,AgeofDomain,DNSRecording,GoogleIndex,LinksPointingToPage,StatsReport,labels
9779.info,1,-1,1,1,1,1,1,-1,1,-1,1,1,0,-1,-1,1,-2,-1,1,-1,1,-1,-1,1,1,1,1,0,1,1
apardee.com,1,1,1,1,1,1,1,-1,1,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,1,1,1,-2,1,0
mvchemistry.com,1,1,1,1,1,1,1,-1,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,1,-2,1,1
pastehtml.com,1,1,1,1,1,1,0,-1,1,1,1,1,-2,-1,-1,1,-2,-1,1,-1,2,-1,-1,1,1,1,1,-1,1,1
en.wikipedia.org,1,0,1,1,1,1,0,-1,1,1,1,1,-2,-1,0,0,-2,-1,1,-1,2,-1,-1,1,1,1,1,-1,1,0
fileguru.com,1,0,1,1,1,1,1,-1,1,1,1,1,-2,-1,0,1,-2,-1,0,-1,2,-1,-1,1,1,1,1,-1,1,0
login-blockchain.ddns.net,1,1,1,1,1,-1,0,-1,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,1,-2,1,1
comfibook.com,1,1,1,1,1,1,1,-1,1,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,1,1,1,-2,1,0
is99.com,1,1,1,1,1,1,0,-1,1,-1,1,1,-2,-1,1,1,-2,-1,1,-1,1,-1,-1,1,1,1,1,0,1,1
amazon.com,1,0,1,1,1,1,1,-1,1,-1,1,1,-2,-1,0,0,-2,-1,0,-1,3,-1,-1,1,1,1,1,-1,1,0
sangoankhang.com,1,0,1,1,1,1,0,-1,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,5,-2,-2,-2,-2,-2,1,-2,1,1
plaxo.com,1,1,1,1,1,1,0,-1,1,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,5,-2,-2,-2,1,1,1,-2,1,0
genforum.genealogy.com,1,1,1,1,1,1,-1,-1,1,-1,1,1,-2,-1,1,0,-2,-1,0,-1,2,-1,-1,1,1,1,1,-1,1,0
letrs.indiana.edu,1,-1,1,1,1,1,0,-1,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,1,-2,1,0
cs.unc.edu,1,1,1,1,1,1,-1,-1,-2,-1,1,1,0,-1,0,1,-2,-1,1,-1,2,-1,-1,1,-2,-2,1,1,1,1
lagunabeach-realestate.com,1,1,1,1,1,-1,1,-1,1,-1,1,1,0,-1,0,1,-2,-1,1,-1,0,-1,-1,1,1,1,1,-1,1,0
redfin.com,1,0,1,1,1,1,1,-1,1,-1,1,1,-2,0,0,1,-2,-1,1,-1,5,-1,-1,1,1,1,1,0,1,0
